Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
8758, 1,0.00104857, 0.00026177, 0.000178086, 69.3913, 17.0922, 0.0298659, 465.686, -151.47, 0.435915, 0.00108603, 0.00130852, 0.000873782, 86.4826, -35.7783, 0, 0.00108314, 0.000789858, 0.000524028, 52.3008, -23.1716, 0, 0.00108292, 5.93436, 15.0565, 86.344, 5.42275, 11.867, 52.225, -0.000435689, -0.000271999, 0.00128812, -0.000248057, -0.000248057, -0.000248057
8759, 1,0.000823652, 0.000319211, 0.000218117, 55.5515, 20.8421, 0.0291405, 468.483, -155.227, 0.421881, 0.0010509, 0.00111093, 0.000747476, 75.6676, -35.1325, 0, 0.00104804, 0.000573398, 0.000386826, 36.726, -19.7434, 0, 0.00104778, 8.50413, 22.1984, 74.6948, 7.68593, 18.4525, 33.0917, -0.000373155, -0.00011016, 0.00105328, -0.0001481, -0.0001481, -0.0001481
8760, 1,0.000592327, 0.000335266, 0.000231935, 38.5168, 21.8619, 0.0279686, 470.282, -150.767, 0.396939, 0.00101613, 0.000826094, 0.000544824, 56.5761, -28.5229, -1.0842E-19, 0.00101341, 0.000448857, 0.000401885, 25.8584, -12.4274, -1.0842E-19, 0.00101314, 14.903, 16.6192, 54.0466, 14.5329, 11.9604, 10.789, -0.000131492, -0.000126434, 0.000720649, 0.000114213, 0.000114213, 0.000114213
8761, 1,0.00118789, 0.000183122, 0.00012679, 75.6352, 11.8419, 0.0292229, 474.918, -154.795, 0.419595, 0.00112082, 0.00135413, 0.000912775, 86.2048, -31.9386, 0, 0.00111773, 0.00102723, 0.000685222, 65.4748, -23.4687, 0, 0.00111758, 1.52971, 8.38335, 85.9027, 1.68021, 4.81492, 63.911, -0.000466833, -0.000360466, 0.00134543, -0.000330683, -0.000330683, -0.000330683
8762, 1,0.00106624, 0.000252826, 0.00017515, 67.1268, 16.7714, 0.0290782, 473.097, -151.865, 0.416523, 0.00108512, 0.00131654, 0.000894601, 83.8385, -32.4795, 0, 0.00108221, 0.000817492, 0.000549698, 50.4544, -19.6641, 0, 0.00108198, 2.03642, 11.694, 83.708, 1.72184, 7.087, 50.1835, -0.000466329, -0.000308712, 0.00130194, -0.000271509, -0.000271509, -0.000271509
8763, 1,0.000838393, 0.000314176, 0.000218512, 51.0059, 20.6559, 0.0282087, 474.622, -154.906, 0.400419, 0.00105, 0.00112214, 0.00075085, 70.9586, -29.1241, 0, 0.0010471, 0.000582095, 0.000408222, 31.9979, -13.6573, 0, 0.00104683, 4.39519, 12.9753, 70.0017, 4.3294, 7.80221, 28.8403, -0.000365523, -0.000229564, 0.00106753, -0.000123519, -0.000123519, -0.000123519
8764, 1,0.000398528, 0.000326836, 0.000225831, 22.1856, 21.5821, 0.0272768, 476.727, -158.843, 0.383292, 0.00101537, 0.000677373, 0.000465244, 42.7189, -17.1653, 0, 0.00101233, 0.000231075, 0.000213433, 7.70137, -0.806305, 0, 0.00101206, 2.25156, 7.06782, 42.1765, 1.67974, 1.31674, -0.577574, -0.000220704, -0.000156102, 0.000655202, 2.46991E-05, 2.46991E-05, 2.46991E-05
8765, 1,0.00117136, 0.000186734, 0.000128606, 75.8476, 12.1404, 0.0295056, 478.4, -160.342, 0.42519, 0.0011203, 0.00134768, 0.000903172, 87.0418, -33.3479, 0, 0.00111709, 0.000998826, 0.00066541, 64.9898, -24.596, 0, 0.00111693, 3.7338, 9.71488, 86.595, 3.82991, 6.74091, 63.2173, -0.000444336, -0.000358742, 0.00134409, -0.000305095, -0.000305095, -0.000305095
8766, 1,0.00104732, 0.000256372, 0.000178289, 67.1224, 16.8819, 0.0294643, 479.368, -162.015, 0.424312, 0.00108474, 0.00130291, 0.000897298, 83.96, -33.1505, 0, 0.00108159, 0.000792235, 0.000545217, 50.3162, -20.5475, 0, 0.00108137, 2.04985, 13.9167, 83.4849, 2.15295, 9.72445, 49.765, -0.000478192, -0.000286794, 0.00130278, -0.000278086, -0.000278086, -0.000278086
8767, 1,0.000839714, 0.000314194, 0.000218155, 49.9744, 20.5525, 0.0289223, 479.455, -162.431, 0.414179, 0.00104966, 0.0011311, 0.000772495, 70.1366, -27.175, 0, 0.00104653, 0.000570402, 0.000387092, 30.3794, -12.0438, 0, 0.00104627, 0.759483, 10.8058, 69.9597, 0.959577, 5.9211, 29.2506, -0.000411431, -0.000259491, 0.00111175, -0.000169311, -0.000169311, -0.000169311
8768, 1,0.000386334, 0.000333255, 0.000228805, 23.5545, 21.8793, 0.0275226, 479.626, -163.48, 0.388247, 0.00101489, 0.000681898, 0.00047124, 44.4366, -18.2578, 0, 0.00101176, 0.000197759, 0.000192637, 7.44032, -1.96413, 0, 0.00101149, 1.91531, 9.76183, 43.0964, 1.42776, 4.46365, 0.000985824, -0.000244831, -0.00012467, 0.000665636, 1.11555E-06, 1.11555E-06, 1.11555E-06
8769, 1,0.00119243, 0.000191923, 0.000131309, 76.233, 12.3989, 0.0298025, 476.969, -157.959, 0.430692, 0.00111932, 0.00137773, 0.000920323, 87.9598, -32.6801, 0, 0.00111614, 0.00100961, 0.000677898, 64.7586, -23.9414, 0, 0.00111598, 3.83444, 7.0148, 87.1911, 3.99334, 5.06023, 62.7706, -0.000432817, -0.000411665, 0.00137468, -0.000292559, -0.000292559, -0.000292559
8770, 1,0.00100882, 0.000255253, 0.000176119, 58.6127, 16.6681, 0.029561, 474.682, -154.424, 0.425837, 0.00108383, 0.00126185, 0.00087629, 75.2526, -24.4212, 0, 0.0010807, 0.000757215, 0.000530686, 41.9925, -12.2843, 0, 0.00108049, -4.58807, 3.2527, 74.599, -4.44719, -0.147941, 41.4481, -0.000482267, -0.000382431, 0.00126088, -0.000288777, -0.000288777, -0.000288777
8771, 1,0.000865634, 0.000313318, 0.000216551, 48.2952, 20.3202, 0.0287795, 478.13, -160.499, 0.411633, 0.00104888, 0.00115925, 0.000791776, 68.2307, -22.5847, 0, 0.00104572, 0.000589526, 0.000430548, 28.8324, -7.99944, 0, 0.00104547, -3.0057, 2.88383, 67.8759, -2.58572, -1.33756, 27.9216, -0.000419043, -0.000363193, 0.00114862, -0.000180966, -0.000180966, -0.000180966
8772, 1,0.000370319, 0.000338976, 0.000230946, 20.8543, 22.0565, 0.0265567, 480.008, -164.948, 0.370458, 0.00101408, 0.000682944, 0.000483509, 41.9743, -14.3027, 3.38813E-21, 0.00101089, 0.000145909, 0.000169399, 4.45037, 1.70784, 3.38813E-21, 0.00101063, -2.07235, 5.00681, 39.9736, -2.45385, 0.472772, -3.14244, -0.000266959, -0.000169102, 0.000668046, -2.33465E-05, -2.33465E-05, -2.33465E-05
8773, 1,0.00121616, 0.000195195, 0.000132632, 76.3985, 12.5252, 0.028455, 487.757, -176.789, 0.407053, 0.00111885, 0.00140656, 0.000944497, 88.4085, -31.3063, 0, 0.00111527, 0.00102759, 0.00069159, 64.5861, -22.6754, 0, 0.00111512, 1.35081, 5.31569, 87.2524, 1.52799, 4.16428, 62.3338, -0.000464471, -0.000429263, 0.00140167, -0.000325498, -0.000325498, -0.000325498
8774, 1,0.00107334, 0.000253784, 0.000173887, 63.6023, 16.4455, 0.0280449, 493.127, -186.005, 0.399984, 0.00108386, 0.00132569, 0.000915739, 80.0401, -26.7154, 0, 0.00108013, 0.00082184, 0.000574138, 47.1696, -15.0152, 0, 0.00107992, -3.28758, 4.564, 78.8699, -3.09789, 1.8074, 46.336, -0.000491741, -0.000396532, 0.00132173, -0.000304104, -0.000304104, -0.000304104
8775, 1,0.00080436, 0.000309356, 0.000212119, 43.2383, 19.9451, 0.0259669, 487.366, -178.107, 0.360684, 0.0010486, 0.00109992, 0.000772777, 62.9683, -18.8294, 0, 0.00104513, 0.00052173, 0.000412121, 23.7739, -4.77121, 0, 0.00104489, -3.98848, -1.84878, 62.3254, -3.62343, -5.50938, 23.4464, -0.00038071, -0.000410214, 0.0010964, -0.000152138, -0.000152138, -0.000152138
8776, 1,0.00039814, 0.000339609, 0.000230208, 21.3201, 21.9662, 0.0225997, 477.322, -163.477, 0.295735, 0.00101328, 0.000697185, 0.00048456, 42.3815, -15.0343, 0, 0.00101031, 0.000195261, 0.000215948, 4.76061, 0.626694, 0, 0.00101006, -0.334845, 4.06897, 41.3689, -0.672631, 0.0124148, -1.21987, -0.000241899, -0.000199923, 0.000685704, -3.02287E-06, -3.02287E-06, -3.02287E-06
8777, 1,0.00123871, 0.00019603, 0.000132178, 76.422, 12.5049, 0.0226832, 478.219, -164.54, 0.297054, 0.00111733, 0.00143011, 0.000965482, 88.4515, -29.3667, 0, 0.00111429, 0.00104902, 0.000710522, 64.569, -20.8928, 0, 0.00111414, -1.41762, 3.01555, 86.5023, -1.32933, 2.47016, 61.5374, -0.000493822, -0.000446346, 0.00141664, -0.000358965, -0.000358965, -0.000358965
8778, 1,0.001028, 0.00025107, 0.000170775, 60.0304, 16.1608, 0.0211781, 480.799, -170.04, 0.268798, 0.00108236, 0.00127875, 0.000889621, 76.1651, -24.1498, 0, 0.00107928, 0.000777461, 0.000557224, 43.913, -12.8518, 0, 0.00107908, -3.74573, 2.18539, 74.0097, -3.5905, -0.0841154, 42.2301, -0.000461775, -0.000407053, 0.00126065, -0.000281054, -0.000281054, -0.000281054
8779, 1,0.000765531, 0.000303095, 0.000206247, 42.2899, 19.4632, 0.0188974, 475.661, -163.656, 0.22496, 0.00104736, 0.00106029, 0.000742004, 61.653, -18.9098, 0, 0.00104451, 0.000479303, 0.000377206, 23.0565, -5.33529, 0, 0.00104428, -1.92431, -1.98252, 60.6363, -1.70987, -5.26449, 22.9802, -0.000338409, -0.000409758, 0.00105496, -0.000120659, -0.000120659, -0.000120659
8780, 1,0.000383163, 0.00033919, 0.000229312, 21.7478, 21.8, 0.0167127, 471.236, -157.641, 0.182212, 0.00101244, 0.00069613, 0.000470922, 43.2715, -15.5747, 0, 0.00100982, 0.000158713, 0.000166576, 3.1098, -0.304438, 0, 0.00100957, 0.533827, 3.61045, 42.58, 0.38548, -0.0907889, 0.618622, -0.000232452, -0.000209807, 0.000694921, 4.14116E-06, 4.14116E-06, 4.14116E-06
8781, 1,0.00119944, 0.000194939, 0.000130945, 76.1411, 12.356, 0.0143134, 466.409, -151.922, 0.135454, 0.00111602, 0.00138937, 0.000917988, 88.0796, -30.8958, 1.35525E-20, 0.0011136, 0.00101143, 0.000669469, 64.3627, -22.6271, 1.35525E-20, 0.00111345, 2.00391, 5.07755, 85.6059, 2.05888, 4.90502, 60.9175, -0.000445961, -0.000413736, 0.00136099, -0.000314852, -0.000314852, -0.000314852
8782, 1,0.000932504, 0.000247744, 0.000167723, 55.6718, 15.8278, 0.0123819, 451.913, -130.105, 0.0966745, 0.00108067, 0.00118017, 0.000811945, 71.4379, -22.8091, 0, 0.00107866, 0.000684901, 0.000482776, 39.9523, -11.9083, 0, 0.00107847, -2.88567, 2.9488, 68.364, -2.70839, 1.01176, 37.4216, -0.000422303, -0.000346039, 0.00113841, -0.000247198, -0.000247198, -0.000247198
8783, 1,0.000667124, 0.000297455, 0.00020144, 38.5489, 18.9963, 0.0111098, 448.521, -126.212, 0.0717725, 0.00104587, 0.00096167, 0.000652007, 57.5252, -17.966, 0, 0.00104395, 0.000376635, 0.000276017, 19.6059, -4.86786, 0, 0.00104373, -2.3662, 0.654836, 55.6095, -2.16756, -2.34898, 19.1201, -0.000333253, -0.000314318, 0.000939049, -0.000123264, -0.000123264, -0.000123264
8784, 1,0.000405637, 0.000334201, 0.000225519, 24.3181, 21.3823, 0.010637, 458.575, -143.208, 0.0634849, 0.00101152, 0.0007082, 0.000473602, 45.0269, -16.7611, 0, 0.00100936, 0.000197517, 0.000182244, 7.62099, -1.9318, 0, 0.00100912, 1.27001, 4.28949, 44.7239, 1.19977, 0.764427, 3.83119, -0.000236353, -0.000199744, 0.000708017, -4.96833E-06, -4.96833E-06, -4.96833E-06
8785, 1,0.00115018, 0.000191631, 0.000128619, 74.6652, 12.0858, 0.00825516, 448.699, -131.673, 0.0167067, 0.00111478, 0.00133738, 0.000881345, 86.4409, -31.5653, 0, 0.00111294, 0.000964776, 0.00063203, 63.0152, -23.5493, 0, 0.0011128, 3.50135, 7.06254, 84.132, 3.57968, 7.06876, 59.9995, -0.000424211, -0.000366934, 0.0013033, -0.000296566, -0.000296566, -0.000296566
8786, 1,0.00086666, 0.000240924, 0.000162623, 54.7007, 15.3406, 0.00723468, 417.02, -100.777, 0, 0.00107944, 0.00110752, 0.000751538, 70.0277, -24.7048, 0, 0.00107811, 0.00062584, 0.000428287, 39.3852, -14.201, 0, 0.00107793, 0.246493, 6.27962, 67.5883, 0.397406, 4.45146, 37.754, -0.000385225, -0.00028402, 0.00107007, -0.000216892, -0.000216892, -0.000216892
8787, 1,0.000630338, 0.000289058, 0.000195239, 38.9591, 18.4093, 0.0069302, 401.124, -98.7535, 0, 0.00104471, 0.000915353, 0.000626504, 57.3011, -19.862, 0, 0.00104338, 0.000352058, 0.000243787, 20.7448, -7.23753, 0, 0.00104316, -1.07827, 4.98075, 55.6835, -0.913374, 2.07091, 20.5551, -0.000336062, -0.000235373, 0.000893674, -0.000134173, -0.000134173, -0.000134173
8788, 1,0.000384631, 0.000326339, 0.000219609, 23.4135, 20.8178, 0.0068847, 416.19, -121.961, 0, 0.00101044, 0.000680493, 0.000455086, 43.412, -15.9462, 0, 0.00100871, 0.000179284, 0.000178604, 7.27933, -1.59867, 0, 0.00100847, 2.57091, 2.12029, 43.1473, 2.47686, -1.24725, 3.56642, -0.000196717, -0.000224475, 0.000679886, 2.6729E-05, 2.6729E-05, 2.6729E-05
8789, 1,0.00113828, 0.000187554, 0.000126182, 73.0401, 11.7869, 0.00652715, 405.944, -130.876, 0, 0.00111424, 0.00132099, 0.000872311, 84.5132, -29.8533, 0, 0.00111242, 0.000957469, 0.000630498, 61.6905, -22.1157, 0, 0.00111228, 2.41853, 5.34838, 81.793, 2.53238, 5.53317, 58.2814, -0.000419691, -0.000372978, 0.00127705, -0.000295708, -0.000295708, -0.000295708
8790, 1,0.000893191, 0.000234009, 0.000157423, 56.0158, 14.8668, 0.00604286, 364.779, -106.298, 0, 0.00107904, 0.00112712, 0.000760401, 70.8526, -24.217, 0, 0.0010776, 0.000659319, 0.000448287, 41.2009, -14.1071, 0, 0.00107743, -0.0320277, 5.01069, 67.6723, 0.0870185, 3.39286, 38.8414, -0.000382973, -0.000298813, 0.0010747, -0.000221535, -0.000221535, -0.000221535
8791, 1,0.000616884, 0.000280439, 0.000188958, 38.3687, 17.8259, 0.00573677, 346.249, -100.844, 0, 0.00104422, 0.00089521, 0.000600615, 56.1689, -19.2922, 0, 0.00104284, 0.000341941, 0.00022861, 20.6136, -7.13699, 0, 0.00104264, 0.00149739, 3.92893, 53.9461, 0.145496, 1.1776, 20.0879, -0.000304298, -0.000244838, 0.000862128, -0.000110193, -0.000110193, -0.000110193
8792, 1,0.000366564, 0.000317729, 0.000213345, 22.3799, 20.2222, 0.0056166, 348.619, -111.769, 0, 0.0010097, 0.000662711, 0.000445567, 42.0693, -15.045, 0, 0.00100812, 0.000150643, 0.000147392, 5.90572, -1.19624, 0, 0.00100789, 1.78562, 1.83338, 41.516, 1.69773, -1.34843, 3.23942, -0.000199429, -0.000215227, 0.000658725, 1.63879E-05, 1.63879E-05, 1.63879E-05
8793, 1,0.0011136, 0.000182481, 0.000123147, 70.6335, 11.4383, 0.00562886, 351.189, -114.356, 0, 0.00111341, 0.00129091, 0.000856995, 81.7475, -28.0515, 0, 0.00111185, 0.000938306, 0.000622227, 59.646, -20.6029, 0, 0.00111172, 1.06607, 4.48042, 78.608, 1.17929, 4.81335, 55.816, -0.000419777, -0.000362957, 0.00123787, -0.00030036, -0.00030036, -0.00030036
8794, 1,0.000863041, 0.000226694, 0.000152303, 54.1563, 14.3753, 0.00522662, 318.7, -96.2231, 0, 0.0010783, 0.00108956, 0.000733795, 68.4959, -23.3587, 0, 0.00107702, 0.000636651, 0.000431693, 39.8432, -13.6393, 0, 0.00107685, 0.0276808, 4.93367, 65.1149, 0.160174, 3.43522, 37.3226, -0.000367955, -0.000285561, 0.0010325, -0.000212372, -0.000212372, -0.000212372
8795, 1,0.000593964, 0.000271027, 0.000182317, 36.9512, 17.2075, 0.00487724, 297.081, -89.3776, 0, 0.00104344, 0.000863078, 0.000579783, 54.1355, -18.5544, 0, 0.00104224, 0.000327956, 0.000220034, 19.8078, -6.86158, 0, 0.00104204, -0.0697956, 3.92724, 51.8057, 0.0507591, 1.2703, 19.2637, -0.000294146, -0.000231998, 0.000827163, -0.00010777, -0.00010777, -0.00010777
8796, 1,0.000332585, 0.000308252, 0.000206704, 20.0254, 19.587, 0.00458786, 284.74, -91.2696, 0, 0.0010088, 0.000621664, 0.000416753, 39.1371, -13.7225, 0, 0.00100753, 0.000126568, 0.00013077, 4.39678, -0.368983, 0, 0.00100731, 1.13753, 1.551, 38.479, 1.05822, -1.50142, 1.55015, -0.000192355, -0.000200739, 0.000615702, 1.59214E-05, 1.59214E-05, 1.59214E-05
8797, 1,0.00108539, 0.000176887, 0.000119723, 68.6928, 11.0651, 0.00487272, 304.721, -99.9237, 0, 0.00111264, 0.00125715, 0.000833904, 79.4435, -27.1269, 0, 0.00111133, 0.00091562, 0.000606829, 58.0642, -19.9657, 0, 0.0011112, 1.08796, 4.1659, 76.1267, 1.19681, 4.60115, 54.0992, -0.000404696, -0.000354646, 0.00119948, -0.000289886, -0.000289886, -0.000289886
8798, 1,0.00083374, 0.00021933, 0.00014716, 52.2216, 13.8828, 0.00455795, 279.237, -85.661, 0, 0.00107759, 0.00105268, 0.000708423, 66.0531, -22.3509, 0, 0.00107649, 0.000615074, 0.000416546, 38.4281, -13.0161, 0, 0.00107633, -0.13423, 4.85654, 62.3305, 0.00513238, 3.48185, 35.5613, -0.000355423, -0.0002701, 0.000988154, -0.000205726, -0.000205726, -0.000205726
8799, 1,0.000572646, 0.0002618, 0.000175865, 35.5238, 16.601, 0.00421193, 257.821, -78.8726, 0, 0.00104275, 0.000833087, 0.000559561, 52.1096, -17.6638, 0, 0.00104171, 0.00031442, 0.000212746, 18.9643, -6.42396, 0, 0.00104152, -0.188303, 3.65141, 49.5283, -0.0773005, 1.10315, 18.246, -0.000282562, -0.000222525, 0.000791655, -0.000103471, -0.000103471, -0.000103471
8800, 1,0.000313654, 0.000298557, 0.000199949, 18.8126, 18.9434, 0.00384571, 239.701, -77.8517, 0, 0.00100803, 0.000595854, 0.000400574, 37.3529, -12.9286, 0, 0.00100696, 0.000109788, 0.000117906, 3.56043, -0.0666812, 0, 0.00100675, 0.997824, 1.20714, 36.5809, 0.92699, -1.70107, 0.974121, -0.000182762, -0.000195173, 0.000587663, 1.80124E-05, 1.80124E-05, 1.80124E-05
8801, 1,0.00106147, 0.000171324, 0.000116356, 67.017, 10.6944, 0.00425874, 266.308, -87.2926, 0, 0.00111183, 0.00122757, 0.000816443, 77.3988, -26.2349, 0, 0.00111073, 0.000897359, 0.000596245, 56.7553, -19.3593, 0, 0.00111061, 0.896927, 3.90166, 73.9061, 1.00917, 4.43379, 52.6348, -0.000394633, -0.000345165, 0.00116546, -0.000284234, -0.000284234, -0.000284234
8802, 1,0.000806793, 0.000211482, 0.000141729, 50.4638, 13.3683, 0.00395694, 243.008, -75.1519, 0, 0.00107683, 0.00101786, 0.000683673, 63.7828, -21.4543, 0, 0.0010759, 0.000596022, 0.00040278, 37.181, -12.5008, 0, 0.00107574, -0.114667, 4.42916, 60.0484, 0.0206691, 3.15523, 34.3264, -0.000340796, -0.00026318, 0.000952058, -0.000197163, -0.000197163, -0.000197163
8803, 1,0.000546545, 0.000252381, 0.000169334, 33.899, 15.9859, 0.00361999, 222.797, -69.4012, 0, 0.001042, 0.000797725, 0.000535408, 49.8705, -16.8202, 0, 0.00104111, 0.000297353, 0.000202004, 17.9528, -6.03098, 0, 0.00104093, -0.170639, 3.41041, 47.2208, -0.0681925, 0.964817, 17.1963, -0.000268826, -0.000212433, 0.000754141, -9.69728E-05, -9.69728E-05, -9.69728E-05
8804, 1,0.000288705, 0.00028881, 0.000193162, 17.3804, 18.2983, 0.00325391, 203.305, -66.52, 0, 0.00100725, 0.000563148, 0.000377305, 35.3364, -12.2112, 0, 0.00100636, 9.52581E-05, 0.000105521, 2.88703, 0.160776, 0, 0.00100616, 0.826314, 1.33974, 34.4675, 0.760435, -1.41523, 0.172466, -0.00017507, -0.000179898, 0.000553056, 1.81417E-05, 1.81417E-05, 1.81417E-05
8805, 1,0.0010334, 0.000165526, 0.000112768, 64.989, 10.3125, 0.00369978, 231.105, -75.4861, 0, 0.0011111, 0.00119391, 0.000797342, 75.0062, -25.12, 0, 0.00111019, 0.000874791, 0.00058383, 55.0844, -18.5292, 0, 0.00111007, 0.576474, 3.26201, 71.5214, 0.688839, 3.87417, 51.0247, -0.00038379, -0.000339554, 0.00113092, -0.00027786, -0.00027786, -0.00027786
8806, 1,0.000777092, 0.000203795, 0.000136422, 48.6805, 12.8609, 0.0033762, 208.297, -65.3984, 0, 0.00107615, 0.000980337, 0.000657127, 61.4853, -20.6616, 0, 0.00107537, 0.000574242, 0.000386775, 35.9167, -12.0883, 0, 0.00107522, -0.0432284, 4.40249, 57.6255, 0.0903744, 3.24611, 32.9284, -0.00032671, -0.000249023, 0.000910957, -0.000189078, -0.000189078, -0.000189078
8807, 1,0.00051634, 0.000242928, 0.000162804, 32.1591, 15.3692, 0.00302303, 186.828, -58.9835, 0, 0.0010413, 0.000758126, 0.00050919, 47.5121, -16.0574, 0, 0.00104058, 0.000276509, 0.000189081, 16.8352, -5.7182, 0, 0.0010404, -0.0233893, 3.3351, 44.8606, 0.0732984, 0.997559, 16.0837, -0.000253656, -0.000199498, 0.000713661, -8.89814E-05, -8.89814E-05, -8.89814E-05
8808, 1,0.00026471, 0.000278601, 0.00018614, 15.6386, 17.6303, 0.00270814, 167.935, -53.6657, 0, 0.00100649, 0.000527429, 0.000354921, 32.8653, -11.0857, 0, 0.0010058, 9.10778E-05, 0.000107306, 2.36667, 0.792727, 0, 0.00100561, 0.416973, 0.749052, 32.0911, 0.352922, -1.8626, -0.868503, -0.000165992, -0.000172695, 0.000518512, 1.95167E-05, 1.95167E-05, 1.95167E-05
8809, 1,0.001006, 0.00015978, 0.000109268, 63.2522, 9.93231, 0.00318039, 198.627, -64.833, 0, 0.00111034, 0.00116077, 0.000776134, 72.8952, -24.3368, 0, 0.00110961, 0.000853127, 0.00056972, 53.7187, -18.032, 0, 0.00110949, 0.50962, 3.13442, 69.3664, 0.620796, 3.8378, 49.6374, -0.000372816, -0.000328176, 0.00109586, -0.000271401, -0.000271401, -0.000271401
8810, 1,0.000746876, 0.000195789, 0.000130946, 46.8406, 12.3386, 0.00282502, 174.33, -54.7595, 0, 0.00107539, 0.000942117, 0.000631331, 59.1274, -19.8363, 0, 0.00107478, 0.00055203, 0.000371986, 34.5917, -11.6432, 0, 0.00107464, 0.0407826, 4.08451, 55.3835, 0.170162, 3.03339, 31.7261, -0.00031188, -0.00024027, 0.000873983, -0.000180311, -0.000180311, -0.000180311
8811, 1,0.000489067, 0.000233217, 0.000156126, 30.4422, 14.7405, 0.0024874, 152.893, -47.4134, 0, 0.00104051, 0.000721018, 0.000484481, 45.1621, -15.1595, 0, 0.00103996, 0.000259311, 0.000179078, 15.7596, -5.27109, 0, 0.0010398, 0.0459822, 2.80573, 42.6269, 0.134377, 0.58337, 15.0955, -0.000238023, -0.000194116, 0.000678077, -8.06072E-05, -8.06072E-05, -8.06072E-05
8812, 1,0.000239845, 0.00026844, 0.000179132, 13.9791, 16.9644, 0.00227214, 138.992, -42.4868, 0, 0.00100571, 0.000492503, 0.000332813, 30.543, -10.1068, 0, 0.00100518, 8.23525E-05, 0.000103891, 1.7219, 1.27563, 0, 0.00100499, 0.174833, 0.365767, 29.7798, 0.11534, -2.07437, -1.86785, -0.000155686, -0.00016396, 0.000483587, 2.21268E-05, 2.21268E-05, 2.21268E-05
8813, 1,0.000983278, 0.000153816, 0.000105586, 61.6202, 9.5412, 0.00271423, 168.314, -53.7031, 0, 0.00110962, 0.00113226, 0.000760614, 70.8865, -23.3987, 0, 0.00110908, 0.000836088, 0.000560909, 52.4561, -17.3829, 0, 0.00110897, 0.327143, 2.42624, 67.4428, 0.435094, 3.21853, 48.495, -0.000361868, -0.000326653, 0.00106817, -0.000265066, -0.000265066, -0.000265066
8814, 1,0.000719481, 0.00018785, 0.000125587, 45.1023, 11.8203, 0.00237424, 145.8, -45.0572, 0, 0.00107469, 0.000906705, 0.000607722, 56.8676, -18.9612, 0, 0.00107424, 0.000532706, 0.000359462, 33.3769, -11.1487, 0, 0.0010741, 0.131792, 3.62942, 53.1225, 0.256328, 2.70874, 30.481, -0.000296132, -0.000234062, 0.000837829, -0.000170656, -0.000170656, -0.000170656
8815, 1,0.000460701, 0.000223596, 0.000149514, 28.6803, 14.1175, 0.00214132, 131.61, -40.8166, 0, 0.00103988, 0.000683126, 0.000458454, 42.7778, -14.2732, 0, 0.00103944, 0.000240369, 0.000166159, 14.6201, -4.83492, 0, 0.00103928, 0.0668549, 2.4951, 40.2578, 0.15121, 0.410088, 13.9435, -0.000223615, -0.000185012, 0.000640184, -7.33717E-05, -7.33717E-05, -7.33717E-05
